Date,Sales
2022-01-01,202.0
2022-01-02,204.5050505050505
2022-01-03,198.010101010101
2022-01-04,198.5151515151515
2022-01-05,241.02020202020202
2022-01-06,215.5252525252525
2022-01-07,206.03030303030303
2022-01-08,177.53535353535352
2022-01-09,216.04040404040404
2022-01-10,202.54545454545453
2022-01-11,185.05050505050505
2022-01-12,188.55555555555554
2022-01-13,207.06060606060606
2022-01-14,196.56565656565655
2022-01-15,205.07070707070707
2022-01-16,212.57575757575756
2022-01-17,238.08080808080808
2022-01-18,202.58585858585857
2022-01-19,217.0909090909091
2022-01-20,216.59595959595958
2022-01-21,197.1010101010101
2022-01-22,202.6060606060606
2022-01-23,214.11111111111111
2022-01-24,198.6161616161616
2022-01-25,218.12121212121212
2022-01-26,211.62626262626262
2022-01-27,197.13131313131314
2022-01-28,219.63636363636363
2022-01-29,200.14141414141415
2022-01-30,229.64646464646464
2022-01-31,231.15151515151516
2022-02-01,225.65656565656565
2022-02-02,207.16161616161617
2022-02-03,207.66666666666666
2022-02-04,209.17171717171718
2022-02-05,189.67676767676767
2022-02-06,221.1818181818182
2022-02-07,219.68686868686868
2022-02-08,222.1919191919192
2022-02-09,211.6969696969697
2022-02-10,202.2020202020202
2022-02-11,211.7070707070707
2022-02-12,224.21212121212122
2022-02-13,236.7171717171717
2022-02-14,229.22222222222223
2022-02-15,211.72727272727272
2022-02-16,227.23232323232324
2022-02-17,221.73737373737373
2022-02-18,232.24242424242425
2022-02-19,238.74747474747474
2022-02-20,244.25252525252526
2022-02-21,244.75757575757575
2022-02-22,236.26262626262627
2022-02-23,260.7676767676768
2022-02-24,224.27272727272728
2022-02-25,234.77777777777777
2022-02-26,233.2828282828283
2022-02-27,210.78787878787878
2022-02-28,232.2929292929293
2022-03-01,232.7979797979798
2022-03-02,236.3030303030303
2022-03-03,251.8080808080808
2022-03-04,228.31313131313132
2022-03-05,245.8181818181818
2022-03-06,215.32323232323233
2022-03-07,216.82828282828282
2022-03-08,214.33333333333334
2022-03-09,247.83838383838383
2022-03-10,230.34343434343435
2022-03-11,242.84848484848484
2022-03-12,244.35353535353536
2022-03-13,245.85858585858585
2022-03-14,237.36363636363637
2022-03-15,222.86868686868686
2022-03-16,250.37373737373738
2022-03-17,230.87878787878788
2022-03-18,247.3838383838384
2022-03-19,222.88888888888889
2022-03-20,242.3939393939394
2022-03-21,266.8989898989899
2022-03-22,241.40404040404042
2022-03-23,250.9090909090909
2022-03-24,237.41414141414143
2022-03-25,251.91919191919192
2022-03-26,230.42424242424244
2022-03-27,213.92929292929293
2022-03-28,235.43434343434345
2022-03-29,238.93939393939394
2022-03-30,251.44444444444446
2022-03-31,245.94949494949495
2022-04-01,252.45454545454547
2022-04-02,237.95959595959596
2022-04-03,250.46464646464648
2022-04-04,251.96969696969697
2022-04-05,237.4747474747475
2022-04-06,255.97979797979798
2022-04-07,279.4848484848485
2022-04-08,237.989898989899
2022-04-09,250.49494949494948
2022-04-10,237.0
